"email","firstName","lastName","role"
"BrandaJSanborn@dayrep.com","Branda","Sanborn","Manager"
"LoisLLessard@teleworm.us","Lois","Lessard","Operator"
"AmandaRCole@rhyta.com","Amanda","Cole","Manager"
"LonnieVTownsend@jourrapide.com","Lonnie","Townsend","Operator"
"JamesSWall@armyspy.com","James","Wall","Manager"
"RuthWMaxwell@armyspy.com","Ruth","Maxwell","Manager"
"BrentLJohnson@dayrep.com","Brent","Johnson","Operator"
"NancyJSallee@dayrep.com","Nancy","Sallee","Manager"
"MarleneSBradley@dayrep.com","Marlene","Bradley","Operator"
"JuanaPBrzezinski@teleworm.us","Juana","Brzezinski","Operator"
