"email","firstName","lastName","group"
"BrandaJSanborn@dayrep.com ","Branda","Sanborn","Managers"
"LoisLLessard@teleworm.us ","Lois","Lessard","Managers"
"AmandaRCole@rhyta.com ","Amanda","Cole","Operators"
"LonnieVTownsend@jourrapide.com ","Lonnie","Townsend","Operators"
"JamesSWall@armyspy.com ","James","Wall","Operators"
"RuthWMaxwell@armyspy.com ","Ruth","Maxwell","Operators"
"BrentLJohnson@dayrep.com ","Brent","Johnson","Operators"
"NancyJSallee@dayrep.com ","Nancy","Sallee","Operators"
"MarleneSBradley@dayrep.com ","Marlene","Bradley","Operators"
"JuanaPBrzezinski@teleworm.us ","Juana","Brzezinski","Operators"
